brand,url,meta_ads_result,qualification_status,removal_reason
Gymshark,https://www.gymshark.com,UNKNOWN,UNCERTAIN,
MVMT Watches,https://www.mvmtwatches.com,UNKNOWN,UNCERTAIN,
